guba_name,postnums,readnum,replynum,post_id,create_time,author_url,content,title
沪铜吧,465,8774,8,"news,fshfecu,268074028",2016-03-10T14:35:04Z,http://iguba.eastmoney.com/3564113348448018,3.10日内新华铜操作建议,3.10日内新华铜操作建议
鸡蛋吧,2682,6042,5,"news,fdcejd,167892540",2015-05-21T10:40:45Z,http://iguba.eastmoney.com/5124112758482870,【司令】鲁泰安流氓<weifeng7436782@qq.com> 20:49:43 屋里也有，车上刚开回来,给大家发个好东东，鸡蛋收购商QQ群里收购商之间的对话，日期2015.5.20
橡胶吧,3512,14367,81,"news,fshferu,122986684",2014-09-12T09:29:27Z,http://iguba.eastmoney.com/3685093978050756,,可用资金终于变为正数了。
沪锌吧,635,9911,4,"news,fshfezn,118063577",2014-08-12T14:16:35Z,http://iguba.eastmoney.com/7117112360448854,期货平仓防做反，买华东重机002685=避险=赚5倍,期货平仓防做反，买华东重机002685=避险=赚5倍
胶合板吧,25,9697,4,"news,fdcebb,634130434",2017-04-26T14:33:50Z,http://iguba.eastmoney.com/7318093967479038,重大利好！---菜粕现货价 2580 元！期货 菜粕 1709合约 价 2500 以下坚决 开多单！,菜粕！央视天气重大利多！平空单！开多单！
聚丙烯吧,60,7766,1,"news,fdcepp,628145117",2017-04-13T09:26:23Z,http://iguba.eastmoney.com/4774134667544078,今天玻璃现货市场整体走势尚可，生产企业以削减库存为主，市场价格小幅变化。上周以来华南、华东等地区厂家集体涨价，对贸易商的市场信心有一定的提振作用。而目前玻璃加工企业订单情况一般，采购玻璃原片的积极性并没有明显的改善。,削减库存为主 玻璃成本趋于合理——期乐网
纤维板吧,13,11201,30,"news,fdcefb,99397674",2014-02-11T11:07:19Z,http://iguba.eastmoney.com/8025093904423998,像割韭菜一样，先割下一茬，等韭菜涨起来再割它!!!,66.50空纤板1405先收获了一茬
燃料油吧,50,22798,8,"news,fshfefu,74996236",2013-05-05T15:31:31Z,http://iguba.eastmoney.com/4287113590430030,大小非88888888888,大小非88888888888
早籼稻吧,7,8822,3,"news,fczceer,626643936",2017-04-10T11:11:45Z,http://iguba.eastmoney.com/6663094041961110,菜粕！重大利好！3月22日晚，中央电视台天气播报：长江中下游是我国主要油菜籽的产,菜粕现货价2540元！09合约2500以下开多单！
晚籼稻吧,8,4531,0,"news,fczcelr,637037911",2017-05-04T15:54:06Z,http://iguba.eastmoney.com/1621134917980198,油价或持续回升,油价或持续回升
螺纹钢吧,24817,2953,6,"news,fshferb,130736131",2014-11-18T10:44:22Z,http://iguba.eastmoney.com/1144013826669408,,感觉空头在对敲 根本就没有真的在卖出
白砂糖吧,315,17731,17,"news,fczcesr,568947103",2016-11-15T11:14:37Z,http://iguba.eastmoney.com/7928094406657870,现在要做多，我也只敢多白糖。,现在要做多，我也只敢多白糖。
动力煤吧,485,22361,25,"news,fczcetc,591385890",2017-01-18T19:03:54Z,http://iguba.eastmoney.com/2466094056031764,立马多翻空空单加倍加量狂持长线。多单无论高低立马闪人大逃亡。牢记倒计时离春节还有不到六个工作日春节后三月十五日全国一停止供暖煤就突变不值钱飞流直下狂跌所以抓紧一切时间趁节前猛抢等没戏。,立马多翻空空单加倍加量狂持长线。多单无论高低立马闪人大逃亡。牢记倒计时离春节还有不到六个工作日春节后三月十五日全国一停止供暖煤就突变不值钱飞流直下狂跌所以抓紧一
期货吧,112961,57990,25,"news,qh,124245146",2014-09-23T15:10:44Z,http://iguba.eastmoney.com/8895094062560710,汇融天下骗子曝光 天涯消费投诉网,汇融天下骗子曝光 天涯消费投诉网
IF01吧,8,16408,6,"news,if01,74996125",2013-05-05T15:25:06Z,http://iguba.eastmoney.com/4287113590430030,大小非88888888,大小非88888888
IF07吧,20,10319,0,"news,if07,635637403",2017-04-30T22:35:10Z,http://iguba.eastmoney.com/7221094026618128,重大利好！---菜粕现货价 2580 元！期货 菜粕 1709合约 价 2500 以下坚决 开多单！,菜粕！央视天气重大利多！平空单！开多单！
IF03吧,14,14915,2,"news,if03,64349107",2013-03-08T16:59:56Z,http://iguba.eastmoney.com/5667113574135008,K线系统中的大周期将限制小周期，小周期将服从大周期，这也是证券物理学理论观点之一。在相对短周期的K线无法准确显示未来趋势的时候，我们必须将K线图换到周期更长的线图下分析。针对场内无数人对大盘年内将运行至3000点甚至5、6000点的美好憧憬，我们将K线图换至10日K线周期看看当其属于何种情况：从图中可以看出，虽然起自1949点的这一轮上涨十分流畅，但10日K线系统的布林线呈现标准的箱体形态，箱顶箱底及中位分别位于2515、1947和2231点，预示着大盘将在未来很长时间内运行于该区间；该周期下面的60线目前位于2495点且将缓慢下移，该均线也将是大盘未来强有力点阻力线。由此可见，一看见阳线就立即盲目乐观的那些每年都在梦想大盘即将突破3000而到达5、6000点的想法实属自作多情。我们反复强调，当前中国股市仍然运行于标准的超级大熊市里面，还没有任何理由可以认为股市已经开始下一轮牛市的运行，一切死多头思维都只能促使其处于继续被套状态，在做空机制迟早都会全面推出的未来，他们必将被市场彻底消灭！,K线系统中的大周期将限制小周期，小周期将服从大周期，这也是证券物理学理论观点之一。在相对短周期的K线
IF02吧,3,2492,0,"news,if02,695621477",2017-08-24T14:05:44Z,http://iguba.eastmoney.com/4238055033834174,"刘风《刘峰》 男，主任医师，教授，血液科主任，硕士，研究生导师，现任北京西京。毕业于北京中药大学，1986年中西医结合血液病临床硕士研究生毕业，师从周霭祥教授。曾进修西医基础1年和骨髓移植。一直从事中西医结合血液病临床工作30余年。主编《中西医临床血液病学》、《中西医结合治疗白血病策略》，专著《白血病》，副主编和参编专业书籍10余部,发表学术论文80余篇,参加国家级、省部级和院级科研课题11项，主持“益髓青黄散治疗骨增生异常综合征的临床研究”、“再生障碍性贫血的中医辨证规范与疗效评价研究”等研究课题.获各级科研成果4项。",北京西苑刘风大夫治疗白血病专业
IF08吧,13,5615,0,"news,if08,663218993",2017-06-30T12:47:04Z,http://iguba.eastmoney.com/2526112650277642,袖珍最新次新股公司核心题材及概念和投资要点(掘未来大牛股)：,袖珍最新次新股公司核心题材及概念和投资要点(掘未来大牛股)
IF10吧,8,5146,2,"news,if10,683970865",2017-07-29T10:31:29Z,http://iguba.eastmoney.com/2486112593168488,袖珍次新股公司核心题材及概念和投资要点掘未来大黑马（精华版）,袖珍次新股核心题材概念和投资要点掘未来大黑马（精华版）
IF12吧,6,14166,1,"news,if12,615294964",2017-03-08T18:10:03Z,http://iguba.eastmoney.com/6952094294415696,恒生指数，香港股市价格的重要指标，指数由若干只成份股（即蓝筹股）市值计算出来的，代表了香港交易所所有上市公司的12个月平均市值涵盖率的63%，恒生指数由恒生银行下属恒生指数有限公司负责计算及按季检讨，公布成份股调整。,恒生指数是什么
IF04吧,17,11822,52,"news,if04,618576512",2017-03-18T13:59:11Z,http://iguba.eastmoney.com/1290112922643706,,南京藏龙卧虎，高手真多！
IF05吧,62,11194,2,"news,if05,109414941",2014-05-03T08:47:00Z,http://iguba.eastmoney.com/8563613366403226,。。。。,一旦有个好事中国人就会蜂拥而至，结果好事就办砸了。
IF06吧,27,17018,5,"news,if06,74996008",2013-05-05T15:16:18Z,http://iguba.eastmoney.com/4287113590430030,大小非888888,大小非888888
IF09吧,13,18673,7,"news,if09,74996145",2013-05-05T15:26:21Z,http://iguba.eastmoney.com/4287113590430030,大小非888888888,大小非888888888
IF11吧,7,4209,0,"news,if11,630972908",2017-04-19T22:32:27Z,http://iguba.eastmoney.com/7893094879277444,发稿不给钱 网络公关界的垃圾 发稿不给钱的骗子大家注意了海信集团里面的海信冰箱,骗子：海信冰箱做完广告/新闻不给钱大家要小心了
国际板吧,33,17462,1,"news,gjb,591339762",2017-01-18T18:24:46Z,http://iguba.eastmoney.com/2547094335702644,会穿衣服的人工智能,会穿衣服的人工智能
再融资吧,70,54473,11,"news,zrz,593099811",2017-01-22T16:23:25Z,http://iguba.eastmoney.com/6595111736160300,2017年01月20日证监会回应上市公司并购重组时表明：上市公司并购重组是提高上市公司质量、支持实体经济转型升级的有效手段，证监会支持并引导资金更多投向有利于产业整合升级的并购重组，趋利避害，更好发挥并购重组的积极作用。近日召开的中央经济工作会议也提出，资本市场要配合企业兼并重组，要尽可能多兼并重组、少破产清算，并购重组在过剩产能化解中被寄予了更大的期望。2017年01月20日就2016年沪市上市公司并购重组及监管情况，上交所负责人的回答：2016年，沪市并购重组沿着服务实体经济主方向，助改革、强主业、促转型、去产能，产业逻辑和价值导向贯穿始终。从证监会和上交所的表态来看，对于,创兴资源成为净壳等待重大资产重组的研究报告!（转发）
艺术品吧,21,115033,13,"news,ysp,114916253",2014-07-08T09:11:43Z,http://iguba.eastmoney.com/9544113554985974,,古代瓷器动辄上亿 市民家传宝成“幸福的折磨”
权证吧,16,122405,148,"news,ymdf,579890190",2016-12-16T09:26:34Z,http://iguba.eastmoney.com/4540112641040958,其它分析进这里。,无题2
石油沥青吧,1774,31798,557,"news,fshfebu,245761319",2016-01-26T17:40:21Z,http://iguba.eastmoney.com/4291094381582282,简介：英杰，国家注册高级金融分析师（CFA）。原新华大宗特聘分析师，现任新华大宗028会员技术总监，有丰富的实战操盘经验和独特的交易理念。2008年进入贵金属投资市场，目前是《和讯》《新浪》《环球外汇》《中金》 《,英杰：《《今日时时行情走势分析》》
玉米淀粉吧,1075,4725,8,"news,fdcecs,207939633",2015-10-22T14:39:05Z,http://iguba.eastmoney.com/3816113566903754,底部形成，机会来临。,1900元上方买入淀粉1601 等数钱。
创业板吧,10330,312,5,"news,cyb,106284022",2014-04-02T14:03:17Z,http://iguba.eastmoney.com/7476013261790634,3月28号就提醒大家收队。,3月28号就提醒大家收队。
中小板吧,535,3556,20,"news,zxb,207183070",2015-10-19T14:41:31Z,http://iguba.eastmoney.com/3236112958858662,时速可逾500亿比特/秒的超级计算机控制，脑电波+心理干扰，通过卫星无线电，有消息说，和脑电波武器配合使用的，是一种特别研制的武器，心电武器。据说，这种武器研发目的和功能只有一个，让人生气得病。,为人民服务 为人民服务 为人民服务 为人民服务
港股吧,1272,26394,257,"news,gg,623927031",2017-04-01T19:28:23Z,http://iguba.eastmoney.com/1835094017725960,央企国有资本运营公司整体上市、并购重组、资产与运营分离等改革举措,央企国有资本运营公司整体上市、并购重组、资产与运营分离等改革举措
LED吧,8,11114,3,"news,bk0580,549219459",2016-09-07T13:56:05Z,http://iguba.eastmoney.com/5721094727852642,荣壹战斗粉说 三大逻辑下LED板块人气飙升 资金布局12只概念股,三大逻辑下LED板块人气飙升
热轧卷板烯吧,760,8445,3,"news,fshfehc,621028051",2017-03-25T10:59:02Z,http://iguba.eastmoney.com/1963114045689966,热卷不是房地产用材！,热卷不是房地产用材！
理财吧,6195,6122,6,"news,licai,601534265",2017-02-06T08:22:12Z,http://iguba.eastmoney.com/8322094232700436,"中国移动也搞了个理财项目，叫做和聚宝，45天到期的短期理财投资产品，2,28号到期，但是，3月6日了还是不还钱。",中国移动的和聚宝不安全
美股吧,1314,5472,1,"news,meigu,109460384",2014-05-05T07:37:34Z,"http://guba.eastmoney.com/list,meigu.html",,巴菲特阐述幸福观不爱做“房叔”
B股吧,7,4239,0,"news,bk0636,641260708",2017-05-12T11:23:48Z,http://iguba.eastmoney.com/4758094272640214,千万别追高买入护盘的大盘权重股，一旦到了阶段顶部，期货庄家首先借砸权重股砸股指期货。,千万别追高买入护盘的大盘权重股，一旦到了阶段顶部，期货庄家首先借砸权重股砸股指期
OLED吧,51,14970,2,"news,bk0840,396970052",2016-05-20T11:34:43Z,http://iguba.eastmoney.com/8292094322839752,热烈庆祝OLER板块成立，今天也是我第一次全仓进这个板块,热烈庆祝OLER板块成立，今天也是我第一次全仓进这个板块[满仓]
S股吧,371,5452,30,"news,bk0503,584443869",2017-01-01T20:08:22Z,http://iguba.eastmoney.com/8446094347531996,呜呜呜,今天给菜鸟们讲个嘛呢？简单却灰常神圣的趋势线咧
滑头必胜吧,11,11543,0,"news,htbs,631220412",2017-04-20T12:46:33Z,http://iguba.eastmoney.com/3335124864858522,无需企稳直接停牌策划重组600360加入自选股。定向增发价增持价到价就买.布局潜伏赚差价.主升浪要十个月后.,特多
板块龙头吧,107,20598,83,"news,bklt,626471731",2017-04-09T21:16:57Z,http://iguba.eastmoney.com/7602113828188234,（4月10日--4月14日）这周沪综指/,中国重工价格走势预测
实战交流吧,52,4805,3,"news,szjl,226738743",2015-11-29T13:30:53Z,http://iguba.eastmoney.com/3550094485185346,,东方财富PC版的“资金趋势”与“资金博弈”不一致
技术交流吧,65,28787,26,"news,jsjl,593102103",2017-01-22T16:31:45Z,http://iguba.eastmoney.com/7316013412024208,2017年01月20日证监会回应上市公司并购重组时表明：上市公司并购重组是提高上市公司质量、支持实体经济转型升级的有效手段，证监会支持并引导资金更多投向有利于产业整合升级的并购重组，趋利避害，更好发挥并购重组的积极作用。近日召开的中央经济工作会议也提出，资本市场要配合企业兼并重组，要尽可能多兼并重组、少破产清算，并购重组在过剩产能化解中被寄予了更大的期望。2017年01月20日就2016年沪市上市公司并购重组及监管情况，上交所负责人的回答：2016年，沪市并购重组沿着服务实体经济主方向，助改革、强主业、促转型、去产能，产业逻辑和价值导向贯穿始终。从证监会和上交所的表态来看，对于,创兴资源成为净壳等待重大资产重组的研究发现!（转发）
模拟炒股吧,32,9676,5,"news,mncg,89942139",2013-10-24T13:41:52Z,http://iguba.eastmoney.com/8604112701651080,"[上个交易日炒股大赛排名第89名选手]2013年10月24日13:12:33买入陆家嘴 17000股,成交价格21.840元。","买入陆家嘴  17000股,成交价格21.840元"
黑马股吧,119,13479,20,"news,heima,623204835",2017-03-30T22:13:17Z,http://iguba.eastmoney.com/7516013784509980,咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价值第一股。,咯咯咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价值第一股。
军工吧,255,1940,0,"news,bk0490,633169426",2017-04-24T16:45:06Z,http://iguba.eastmoney.com/6000094472570724,军工板块跌成这样，真tm奇葩了，不行关了得了,军工板块跌成这样，真tm奇葩了，不行关了得了
创投吧,4,33745,14,"news,bk0506,154016396",2015-03-24T21:49:07Z,http://iguba.eastmoney.com/7590112402531386,,比较有价值的创投股有哪些？
HS300_吧,19,4581,0,"news,bk0500,631777832",2017-04-21T13:07:12Z,http://iguba.eastmoney.com/5799074886157562,涨,涨
中药吧,9,4308,0,"news,bk0615,632983754",2017-04-24T11:36:36Z,http://iguba.eastmoney.com/4703094368478238,,次新面临监管压力，雄安概念短期冲高乏力，资金无处可去唯有拥抱白马股，今天行情呈现
高校吧,2,3068,0,"news,bk0491,687294038",2017-08-03T11:54:37Z,http://iguba.eastmoney.com/4949094413812150,国家队，要进军暴力拉升，安心持有，大胆买入。以后此帖一出代表买入信号，欢迎大家留言点个赞。,国家队，要进军暴力拉升，安心持有，大胆买入。以后此帖一出代表买入信号，欢迎大家留
风能吧,9,4733,0,"news,bk0595,644750372",2017-05-20T13:42:01Z,http://iguba.eastmoney.com/5139094294464160,超级能源“可燃冰”,超级能源“可燃冰” ---能源智采是命！智享智用是脉！ ---尽在能源互联网建设
超级黑马吧,812,841,15,"news,cjhm,77145636",2013-05-23T09:35:57Z,http://iguba.eastmoney.com/5250113672700192,智慧城市---离不开环保产新材，特推【双星新材】！,智慧城市---离不开环保产新材，特推【双星新材】！
大话财经吧,7651,701,0,"news,dhcj,58468837",2012-11-15T12:32:10Z,http://iguba.eastmoney.com/1829112912053848,海南生态循环农业蓬勃发展，农村因此获得了经济效益和生态效益双丰收。,陈毓勇 坚持科学发展观---生态循环绿色发展循环经济
股民学校吧,8572,20375,12,"news,gmxx,49790004",2012-03-20T09:19:42Z,http://iguba.eastmoney.com/7428111481466798,炒股尤如用兵，不知兵法而决战沙场，怎能运筹帷幄，决胜千里?但仅熟读兵书也只是问题的一面，战国的赵括，三国的马谡就是典型代表。那问题的另一面是什么?那就是实践经验。这个方面的提高没有捷境，那就是实践实践再实践。本文讲的仅仅是兵法，如果你问我股市有没有什么绝招，那我说最好的绝招是你坚持每天4小时交易时间盯盘，然后每天晚上再复盘研究两小时，星期天最好别出去，再花8小时总结全周的情况，如果你真能做到全心全意，“衣带渐宽终不悔”，三年后你可会第二招，五年后你可会第三招，八年后你可会第四招。。。。。。呵呵，整个一个神奇数字集合，玩笑乎?天知道!,股市绝顶高手修行大法
股指期货吧,10025,5261,4,"news,gzqh,55024830",2012-07-25T15:32:01Z,http://iguba.eastmoney.com/8140111943041128,周三，股指期货走势呈冲高回落格局，主力合约IF1208低开一度冲高至2400点关口前受阻；午后，市场弱势尽显，IF1208跌破前天的最低价，再度刷新近期新低。截止收，IF1208报2374.0点，跌幅0.48％，增仓2484手；沪深300现指报2360.08点，跌幅0.67％。,期指冲高回落 IF1208增仓创新低
核心内参吧,10621,1758,4,"news,hxnc,44514520",2011-10-03T13:42:02Z,http://iguba.eastmoney.com/9713113176490686,从中国水电的公告来看，如果上市破发，就等于承认他们是在圈钱，打自己的嘴巴。,中国水电的公告
全球股市吧,2272,32815,22,"news,qqgs,99051721",2014-01-31T02:39:49Z,http://iguba.eastmoney.com/7107113309533292,如何才能买美国股市啊？我不想买中国股市了！,如何才能买美国股市啊？我不想买中国股市了！
内幕传闻吧,284,52044,8,"news,nmcw,58619704",2012-11-21T11:16:56Z,http://iguba.eastmoney.com/4367113469377626,有人在上海做过股票配资吗？是在哪家股票配资公司做的？股票配资安全吗？　　 这些问题都是人们常问的，尤其是一些想要配资的股民，对这些问题相当关注，下面小张来为大家简单分析一下，希望对大家有所帮助。　　 股票配资公司现在在上海、江浙一代比较多，而且走的比较火，经过前几年的不断规范整合，股票配资公司已经逐渐走上了规范的道路，尤其是在上海地区，好多配资公司已经运营的比较规范合理。比如申穆线等，当然仍然有一些不具规模的小型的配资公司，但是只要是有正规营业执照，从事过数年配资业务的，一般不会欺骗客户，所以，在这方面，资金安全方面只要是正规的公司都可以，不必过分担心。,有人在上海做过股票配资吗？是在哪家股票配资公司做的？股票配资安全吗？
保险吧,268,13808,18,"news,baoxian,625178628",2017-04-06T10:44:19Z,http://iguba.eastmoney.com/7516013784509980,咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价值第一股。,哈哈哈咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价值第一股。
银行吧,807,5712,3,"news,bk0475,599404608",2017-02-03T13:42:00Z,http://iguba.eastmoney.com/4093093956254986,谁能解释一下，为毛江苏省的小银行全都一起上市了？,谁能解释一下，为毛江苏省的小银行全都一起上市了？
外汇吧,16320,9352,20,"news,waihui,83160091",2013-07-19T17:07:07Z,http://iguba.eastmoney.com/5766013742224230,今年股市行情不好，我的一些股民朋友都转向黄金市场了，当然他们有做内盘的，大多还是做香港那边的平台，杠杆较大，我下了个模拟玩了一个星期，就直接在鑫圣金业开了一个户，整个8月，一直盈盈亏亏的没什么问题，但是这几天的行情，金价疯了一样的涨，我很小心地下单，每笔都设置盈利止损，小赚一笔！后来又陆续入单，慢慢地就有一些问题出现了，建仓的时候一直显示正在提交，请稍候…然后就一直卡在那里不动，不得己强制关闭了软件再重新打开，继续操作还是不行，先声明我的网络是没有问题的，四兆带宽。等到第二天可以下单，却发现已经错过行情！这种情况不止一次。鑫圣贵金属没有给我解释，我再也不去这个垃圾鑫圣贵金属平台了。,鑫圣贵金属伪装自己是好平台
私募基金吧,18,3877,4,"news,smjj,536320089",2016-08-19T15:13:00Z,http://iguba.eastmoney.com/5873094715906110,"上海元普公司私募------元普金牛传奇百年一号100万起，申购费1万，管理费2%，止损线0.7,元普违规操作,现净值只剩0.45了，老板张强给投资人造成巨额损失，拒不赔偿损失",上海元普公司私募元普金牛传奇百年一号100万仅剩45万！
投诉建议吧,2,15991,25,"news,tsjy,645335999",2017-05-22T15:08:50Z,http://iguba.eastmoney.com/1254024508375372,顶顶顶顶,单独
吧主申请吧,2,2921,24,"news,bzsq,642957690",2017-05-16T15:41:20Z,http://iguba.eastmoney.com/2975094098154034,尊敬的管理员同志，很感谢您在百忙之中来读我成为,申请成为同德化工（002360）吧主
幸运99鑫吧,172,17760,6,"news,xy99x,550092564",2016-09-09T14:41:25Z,http://iguba.eastmoney.com/4774134667544078,相对于《光环效应：何以追求卓越，基业如何长青》，《左脑思考，右脑执行：管理者如何做出制胜决策》可能不是那么有名。这本书出版于2014年，是瑞士洛桑国际管理学院战略及国际管理教授菲尔·罗森维的第二本书。,左脑清晰思考 右脑理性执行（期乐网）
ST概念吧,25,3981,0,"news,bk0511,641467095",2017-05-12T17:07:29Z,http://iguba.eastmoney.com/1135044722554470,最近2天600112天成好象有小庄活动！,最近2天600112天成好象有小庄活动！
5G概念吧,100,3924,2,"news,bk0714,693147914",2017-08-16T10:29:18Z,http://iguba.eastmoney.com/4821094714101580,五洋通信，电信合作，国家支持，量大从优,五洋通信，电信合作，国家支持 5G 5G
3D打印吧,2,8302,2,"news,bk0619,583393751",2016-12-28T12:05:27Z,http://iguba.eastmoney.com/4949094413812150,买买买,买买买
3D玻璃吧,18,12395,0,"news,bk0881,416054572",2016-06-07T09:27:27Z,http://iguba.eastmoney.com/5840094485976760,第一帖!,第一帖!
财经评论吧,235060,200,1,"news,cjpl,700680475",2010-08-19T16:35:30Z,http://iguba.eastmoney.com/9313013693864916,,海信空调出现质量问题 消费者多次投诉无果
股市实战吧,184301,858569,1651,"news,gssz,562574009",2016-10-26T17:07:36Z,http://iguba.eastmoney.com/5267094396835412,2016年11月~12月及明后年高低点时间表图，抛砖引玉，仅供参考,2016年11月~12月及明后年高低点时间表图
基金动态吧,34199,36731,1,"news,jjdt,191499643",2015-07-31T10:21:07Z,http://iguba.eastmoney.com/8089094346796072,股票风险大，割肉不玩了，改买基金算了。,现在买什么基金好？
基金人语吧,5547,2947,2,"news,jjry,103302302",2010-05-14T10:45:13Z,http://iguba.eastmoney.com/2733111818200962,调查显示，78％私募认为股市下跌与股指期货有关,私募担心二次探底减仓避险 2600点成生线
基金学校吧,6777,4955,1,"news,jjxx,103301600",2010-05-13T11:03:24Z,http://iguba.eastmoney.com/4807111960852332,"市场上的基金越来越多,有人说,选到好的基金,就像接到了飞镖一样难。怎样才能提高接到飞镖的几率?资深基金分析员建议,在“好基金”暂时无法判断的时候,不妨反其道而行之,逆选出“坏基金”并剔出组合,从而大大增加选中“好基金”的几率。比如说,那些连续数年都排名整个行业后1/2或1/4的基金,就未必投资。",不妨先剔除“坏基金”
国债期货吧,42,27974,15,"news,gzqh2,578979812",2016-12-13T22:48:31Z,http://iguba.eastmoney.com/5724212756501672,假如我T1706 买多95.88 1手，如果我不平仓，是不是到期后我要付出958800元换到面值为100万的国债啊，谢谢，在线等,请问一个国债期货的问题
房地产吧,214,8402,3,"news,bk0451,621377678",2017-03-27T09:55:54Z,http://iguba.eastmoney.com/8732134774864896,房子不住人空关要坏掉。,房子不住人空关要坏掉。
新能源吧,8,4244,0,"news,bk0493,631318220",2017-04-20T15:00:58Z,http://iguba.eastmoney.com/5956024610388302,天天跌，也是没谁了,天天跌，也是没谁了
中字头吧,29,6904,6,"news,bk0505,592192556",2017-01-19T23:06:10Z,http://iguba.eastmoney.com/3862084602241104,拉中字头的原因终于找到啦！！！,拉中字头的原因终于找到啦！！！[赞][赞][赞][赞][赞]
锂电池吧,120,11826,31,"news,bk0574,404348719",2016-05-27T11:40:21Z,http://iguba.eastmoney.com/7339094419887376,京城的雾霾...,京城的雾霾... 醇而厚重，得到内蒙古源源不断补充，持久，绵长，不易散。 广东的
迪士尼吧,16,9659,7,"news,bk0540,580082587",2016-12-16T15:34:34Z,http://iguba.eastmoney.com/8446094347531996,呜呜呜,红周一大概率咧，见到3190大幅减仓咧，不到可以持股咧
深成500吧,6,10663,8,"news,bk0568,558219700",2016-10-13T06:36:06Z,http://iguba.eastmoney.com/4949094413812150,看好持有,看好持有[牛][牛][牛]
